Date : 2022-08-25 10:47:49
Directory : c:\Users\colli\Desktop\django_project
Total : 76 files,  3916 codes, 617 comments, 620 blanks, all 5153 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\colli\Desktop\django_project\smart_scheduler\outlook.py                                             | Python           |         34 |        118 |          8 |        160 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\static\smart_scheduler\app.js                          | JavaScript       |         31 |         64 |         10 |        105 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\static\smart_scheduler\contact_page.css                | CSS              |        137 |          0 |         26 |        163 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\static\smart_scheduler\media\calendar.svg              | XML              |          1 |          0 |          0 |          1 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\static\smart_scheduler\slider.css                      | CSS              |         96 |          0 |          1 |         97 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\static\smart_scheduler\styles.css                      | CSS              |      1,039 |          4 |        159 |      1,202 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\403.html                     | HTML             |         16 |          0 |          0 |         16 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\404.html                     | HTML             |         16 |          0 |          0 |         16 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\500.html                     | HTML             |         16 |          0 |          0 |         16 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\about.html                   | HTML             |         34 |          2 |          1 |         37 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\add_attendees.html           | HTML             |         80 |          0 |          1 |         81 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\base.html                    | HTML             |        128 |         57 |          4 |        189 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\contact_confirm_delete.html  | HTML             |         26 |          0 |          0 |         26 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\contact_detail.html          | HTML             |         24 |          0 |          6 |         30 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\contact_form.html            | HTML             |         22 |          0 |          0 |         22 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\home.html                    | HTML             |          3 |          0 |          0 |          3 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\meeting_confirm_delete.html  | HTML             |         26 |          0 |          0 |         26 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\meeting_detail.html          | HTML             |         20 |          0 |          0 |         20 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\meeting_form.html            | HTML             |         41 |          0 |          0 |         41 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\meeting_status_schedule.html | HTML             |        206 |          0 |         16 |        222 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\preferred_calendar.html      | HTML             |         13 |          0 |          3 |         16 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\rsvp.html                    | HTML             |         65 |          0 |          1 |         66 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\user_contacts.html           | HTML             |         55 |          0 |          1 |         56 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\templates\smart_scheduler\user_meetings.html           | HTML             |         64 |          0 |          7 |         71 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\tests.py                                               | Python           |          1 |          1 |          2 |          4 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\urls.py                                                | Python           |         68 |          3 |         10 |         81 |
| c:\Users\colli\Desktop\django_project\smart_scheduler\views.py                                               | Python           |        492 |        110 |         97 |        699 |
| c:\Users\colli\Desktop\django_project\token.json                                                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\colli\Desktop\django_project\users\__init__.py                                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\colli\Desktop\django_project\users\admin.py                                                         | Python           |          3 |          0 |          2 |          5 |
| c:\Users\colli\Desktop\django_project\users\apps.py                                                          | Python           |          6 |          0 |          4 |         10 |
| c:\Users\colli\Desktop\django_project\users\forms.py                                                         | Python           |         18 |          2 |          5 |         25 |
| c:\Users\colli\Desktop\django_project\users\migrations\0001_initial.py                                       | Python           |         18 |          1 |          7 |         26 |
| c:\Users\colli\Desktop\django_project\users\migrations\__init__.py                                           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\colli\Desktop\django_project\users\models.py                                                        | Python           |         15 |          0 |          7 |         22 |
| c:\Users\colli\Desktop\django_project\users\signals.py                                                       | Python           |         11 |          0 |          2 |         13 |
| c:\Users\colli\Desktop\django_project\users\templates\users\contacts.html                                    | HTML             |         28 |          0 |          1 |         29 |
| c:\Users\colli\Desktop\django_project\users\templates\users\login.html                                       | HTML             |         33 |          5 |          1 |         39 |
| c:\Users\colli\Desktop\django_project\users\templates\users\logout.html                                      | HTML             |         17 |          0 |          0 |         17 |
| c:\Users\colli\Desktop\django_project\users\templates\users\password_reset.html                              | HTML             |         16 |          0 |          1 |         17 |
| c:\Users\colli\Desktop\django_project\users\templates\users\password_reset_confirm.html                      | HTML             |         16 |          0 |          1 |         17 |
| c:\Users\colli\Desktop\django_project\users\templates\users\password_reset_done.html                         | HTML             |          6 |          0 |          1 |          7 |
| c:\Users\colli\Desktop\django_project\users\templates\users\profile.html                                     | HTML             |         38 |          1 |          0 |         39 |
| c:\Users\colli\Desktop\django_project\users\templates\users\register.html                                    | HTML             |         52 |          0 |          0 |         52 |
| c:\Users\colli\Desktop\django_project\users\tests.py                                                         | Python           |          1 |          1 |          2 |          4 |
| c:\Users\colli\Desktop\django_project\users\views.py                                                         | Python           |         34 |          0 |          6 |         40 |
| Total                                                                                                        |                  |      3,916 |        617 |        620 |      5,153 |
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
