timestep,opponent,wins
20000,RandomPlayer,43
20000,MaxDamagePlayer,13
20000,SimpleHeuristicsPlayer,0
50000,RandomPlayer,71
50000,MaxDamagePlayer,34
50000,SimpleHeuristicsPlayer,2
100000,RandomPlayer,57
100000,MaxDamagePlayer,9
100000,SimpleHeuristicsPlayer,3
250000,RandomPlayer,71
250000,MaxDamagePlayer,17
250000,SimpleHeuristicsPlayer,4
